itemNumber,fileName,dbIndex,dbType,dbSmith,dbMei,dbPeriod
120,JT-48-1-115 Shigetsugu Sayagaki2,12064,Naoshi,Aoe,Mumei [青江],Middle Nanbokucho
121,JT-48-1-115 Shigetsugu Sugata,12180,Tachi,Masahiro,正広作 [三原& 時代南北朝末期乃至応永],Late Nanbokucho - Early Muromachi
122,JT-48-1-115 Shigetsugu,12271,Katana,Ko-Mihara,Mumei [古三原] [Kinzogan 明暦二年七月三日/ 山野加右衛門尉永久 (花押) / 於武州二ツ胴切落/ 万治三年十月十一日/ 山野加右衛門尉永久 (花押) / 三ツ胴切落],Nanbokucho
123,JT-48-1-116 Aoe,12301,Katana,Ko-Mihara,Mumei [古三原],Late Kamakura - Nanbokucho
124,JT-48-1-117 Aoe,12416,Katana,Ko-Mihara,Mumei [古三原],Late Kamakura - Nanbokucho
125,JT-48-1-118 Aoe,12627,Katana,Kiyotsuna,Mumei [伝二王清綱],Late Kamakura
126,JT-48-1-119 Aoe,12781,Naoshi,Hojoji,Mumei [但州法城寺],Nanbokucho
127,JT-48-1-120 Tsuguyoshi,12878,Tachi,Sadatsuna,貞綱 [古伯耆],Late Heian - Early Kamakura
128,JT-48-1-121 Toshitsugu,12882,Tachi,Sadatsuna,貞綱 [古伯耆],Late Heian - Early Kamakura
129,JT-48-1-122 Ko-Mihara,12893,Katana,Sadatsuna,Mumei [古伯耆貞綱],Late Heian - Early Kamakura
130,JT-48-1-123 Ko-Mihara,12896,Katana,Sadatsuna,Mumei [古伯耆貞綱],Late Heian - Early Kamakura
131,JT-48-1-124 Ko-Mihara,13686,Katana,Sadayoshi,Mumei [伝左貞吉],Nanbokucho
132,JT-48-1-125 Masahiro,13743,Wakizashi,Kunihiro,Mumei [伝左国弘],Nanbokucho
133,JT-48-1-126 Kiyotsuna,14193,Katana,Kuniyoshi,[Shumei国吉] [延寿],Late Kamakura
134,JT-48-1-127 Sadatsuna,14261,Naoshi,Kunisuke,国資,Late Kamakura - Nanbokucho
